"EntityId","Chart Label","Technology","Technology Subtype","Year","Official Program Number","Calculated LCOE","","Overnight Capital Cost dollar per kW including Contingency","Contingency Factor","Overnight Capital Cost dollar per kW","Final Capital Cost, $/kW","Discount Rate","Lifetime Years","Final Lifetime in Years","Capital Recovery Factor","Tax Rate","Present Value of Depreciation","Average Capacity Factor","Max Capacity Factor","Final Capacity Factor","LCOE Capital Cost Term","O M All-Inclusive","Fixed O M dollar per kW","Variable O M dollar per MWh","Calculated OM All Inclusive Cost Term ($/kW)","Calculated Fixed OM Term ($/kW)","Calculated Variable OM Term ($/kW)","LCOE OM Term","Fuel","Fuel Cost","Heat Rate","LCOD Fuel Cost Term","","Reference Name","Publication Year","Report Author(s)","Dataset name","Dataset web source"
"EntityId","TechIndex","Technology","TechnologySubtype","Year","IsOfficial","lcoe","Blank","OnghCptCstDlKwInclCtng","ContingencyFactor","OnghtCptlCostDolPerKw","FinalCptlCostDolPerKw","DiscountRate","LifetimeYears","FinalLifetimeYears","CapitalRecoveryFactor","TaxRate","PvOfDepreciation","AvgCapacityFactor","MaxCapacityFactor","FinalCapacityFactor","TermCapitalCost","OMAllInclusive","FixedOMDolPerKw","VariableOMDolPerMwh","OfficialOMAllInclusive","OfficialFixedOMDolPerKw","OfficialVariableOMDolPerMwh","TermOMCost","Fuel","FuelCost","HeatRate","TermFuelCost","Blank","ShortName","PublicationYear","Author","Title","PublicationUrl"
"Unique identifier for this data record.","Displayed label for the technology and sub-technology.","General type of technology used to generate electricity.","Technology Subtype.","Year.","Official Program Number.","Levelized cost of energy, an estimate of total electricity cost including payback of initial investment and operating costs. Also the price a plant must sell electricity at in order to break even.","","Overnight Capital Cost dollar per kW including Contingency.","Contingency Factor.","Initial cost of a generation technology per kilowatt of capacity, if it could be conducted overnight.","Final Capital Cost, $/kW.","Discount Rate is the assumed effective rate at which future income streams are discounted. Used to compute the capital recovery factor. In Normalized mode, a single discount rate is used. In Market and User modes, the discount rate can be different for each technology.","Lifetime Years.","Lifetime of the Investment. It is the assumed lifetime of a new plant/vehicle and the period over which the investment is computed (unless specified otherwise).","(CRF) A common element in the levelized cost calculations is capital expenditures. The capital expenditure is turned into annual payments with a Capital Recovery Factor (CRF) that is defined using a common calculation.","Tax rate paid (applied after depreciation credits).","The present value of depreciation, depending on the MACRS schedule (Modified Accelerated Cost Recovery System).","The ratio between average power and peak capacity. A plant running at full capacity for exactly half the year would have a 0.5 capacity factor.","Max Capacity Factor.","Final Capacity Factor.","Capital Cost term calculated in the LCOE equation","O M All-Inclusive.","Maintenance costs for generation paid regardless of the total amount generated.","Maintenance costs for generation paid per unit of energy produced.","Term calculated using the OM All Inclusive Cost - when used, this replaces the fixed and variable O&M costs ($/kW).","Term calculated using the Fixed OM ($/kW).","Term calculated using the Variable OM ($/kW).","Calculated term for all costs associated with OM (Operations and Maintenance).","Fuel.","Fuel Cost.","Heat Rate.","","","Reference Name.","Publication Year.","Report Author.","Dataset name.","Dataset web source."
"g30146","Offshore","Wind-Offshore","","2000","",0.093,"","","1","2284.35",2284.35,0.07,"20",30,0.080586403511111,0.392,0.83155,"0.34","","0.34",0.068520195029595,"","14.28","19.99","","","",0.024784520547945,"Wind",0,"",0,"","Logan et al., 2008","2008","Logan et al","National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.","http://www.nrel.gov/docs/fy09osti/45161.pdf "
"g30197","Offshore","Wind-Offshore","","2000","",0.086,"","","1","2284.35",2284.35,0.07,"20",30,0.080586403511111,0.392,0.83155,"0.38","","0.38",0.061307542921217,"","14.28","19.99","","","",0.024279834174477,"Wind",0,"",0,"","Logan et al., 2008","2008","Logan et al","National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.","http://www.nrel.gov/docs/fy09osti/45161.pdf "
"g30248","Offshore","Wind-Offshore","","2000","",0.079,"","","1","2284.35",2284.35,0.07,"20",30,0.080586403511111,0.392,0.83155,"0.42","","0.42",0.055468729309672,"","14.28","19.99","","","",0.023871278538813,"Wind",0,"",0,"","Logan et al., 2008","2008","Logan et al","National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.","http://www.nrel.gov/docs/fy09osti/45161.pdf "
"g30299","Offshore","Wind-Offshore","","2000","",0.074,"","","1","2284.35",2284.35,0.07,"20",30,0.080586403511111,0.392,0.83155,"0.46","","0.46",0.050645361543614,"","14.28","19.99","","","",0.023533776057177,"Wind",0,"",0,"","Logan et al., 2008","2008","Logan et al","National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.","http://www.nrel.gov/docs/fy09osti/45161.pdf "
"g30350","Offshore","Wind-Offshore","","2000","",0.07,"","","1","2284.35",2284.35,0.07,"20",30,0.080586403511111,0.392,0.83155,"0.5","","0.5",0.046593732620125,"","14.28","19.99","","","",0.023250273972603,"Wind",0,"",0,"","Logan et al., 2008","2008","Logan et al","National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.","http://www.nrel.gov/docs/fy09osti/45161.pdf "
"g30401","Offshore","Wind-Offshore","","2000","",0.109,"","","1","3045.81",3045.81,0.07,"20",30,0.080586403511111,0.392,0.83155,"0.38","","0.38",0.081743658942312,"","14.28","22.84","","","",0.027129834174477,"Wind",0,"",0,"","Logan et al., 2008","2008","Logan et al","National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.","http://www.nrel.gov/docs/fy09osti/45161.pdf "
"g30452","Offshore","Wind-Offshore","","2000","",0.099,"","","1","3045.81",3045.81,0.07,"20",30,0.080586403511111,0.392,0.83155,"0.43","","0.43",0.072238582321113,"","14.28","22.84","","","",0.026631016247212,"Wind",0,"",0,"","Logan et al., 2008","2008","Logan et al","National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.","http://www.nrel.gov/docs/fy09osti/45161.pdf "
"g30503","Offshore","Wind-Offshore","","2000","",0.094,"","","1","3045.81",3045.81,0.07,"20",30,0.080586403511111,0.392,0.83155,"0.46","","0.46",0.067527370430606,"","14.28","22.84","","","",0.026383776057177,"Wind",0,"",0,"","Logan et al., 2008","2008","Logan et al","National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.","http://www.nrel.gov/docs/fy09osti/45161.pdf "
