T,C
10,0
14.94949494949495,0
19.8989898989899,0
24.848484848484848,0
29.7979797979798,10593757952913165e-45
34.74747474747475,33447275077195075e-43
39.696969696969695,3670567391679047e-40
44.64646464646464,17504940121452283e-39
49.5959595959596,4355773972588512e-37
54.54545454545455,6508488772785853e-36
59.494949494949495,6494508613992556e-35
64.44444444444444,469008828024039e-33
69.39393939393939,2606265962485492e-33
74.34343434343434,11684064080769844e-33
79.29292929292929,43845162484023406e-33
84.24242424242425,14178707757327814e-32
89.1919191919192,40440577650174644e-32
94.14141414141415,10365437159329556e-31
99.0909090909091,24241526161024454e-31
104.04040404040404,5238003479161152e-30
108.98989898989899,10565844511619356e-30
113.93939393939394,20069261828688136e-30
118.88888888888889,36158139732240484e-30
123.83838383838383,6217311485236826e-29
128.78787878787878,10256509678616472e-29
133.73737373737373,16306085284991368e-29
138.68686868686868,25080468128038897e-29
143.63636363636363,37446804908069745e-29
148.58585858585857,5443214194080626e-28
153.53535353535352,7722650224923413e-28
158.4848484848485,10718177696565913e-28
163.43434343434345,14580656797742704e-28
168.3838383838384,1947572963053855e-27
173.33333333333334,25582602355381717e-28
178.2828282828283,33092552180303895e-28
183.23232323232324,42207217407246526e-28
188.1818181818182,5313672987431404e-27
193.13131313131314,6609774739462486e-27
198.08080808080808,8131143989377022e-27
203.03030303030303,9900147755132758e-27
207.97979797979798,11939206294164096e-27
212.92929292929293,14270604243326555e-27
217.87878787878788,16916312533258437e-27
222.82828282828282,1989782327366729e-26
227.77777777777777,23235999199918836e-27
232.72727272727272,26950938724333825e-27
237.67676767676767,3106185715507292e-26
242.62626262626262,3558698423401848e-26
247.57575757575756,4054347780176795e-26
252.5252525252525,4594735311937e-23
257.47474747474746,5181342715775842e-26
262.42424242424244,5815527700096277e-26
267.37373737373736,6498521139169442e-26
272.32323232323233,7231425437125977e-26
277.27272727272725,8015213992367988e-26
282.22222222222223,885073165204343e-25
287.17171717171715,9738696047202456e-26
292.1212121212121,10679699702068665e-26
297.07070707070704,11674212815082203e-26
302.020202020202,12722586614640504e-26
306.969696969697,13825057198457208e-26
311.9191919191919,1498174977192324e-25
316.8686868686869,16192683207566346e-26
321.8181818181818,17457774854492666e-26
326.7676767676768,1877684553341776e-25
331.7171717171717,20149624659443103e-26
336.6666666666667,21575755441032055e-26
341.6161616161616,23054800109621635e-26
346.5656565656566,24586245139935666e-26
351.5151515151515,2616950642631647e-25
356.4646464646465,27803934385252015e-26
361.4141414141414,29488818958738024e-26
366.3636363636364,31223394497193336e-26
371.3131313131313,330068445043412e-24
376.26262626262627,34838306229801044e-26
381.2121212121212,3671687509812442e-25
386.16161616161617,3864160896566838e-25
391.1111111111111,40611532199056406e-26
396.06060606060606,4262563957105363e-25
401.010101010101,44682899971497506e-26
405.95959595959596,4678225993250091e-25
410.90909090909093,4892264696850644e-25
415.85858585858585,5110297273293222e-25
420.80808080808083,5332213599413326e-25
425.75757575757575,5557902543423224e-25
430.7070707070707,5787252227504819e-25
435.65656565656565,6020150273591562e-25
440.6060606060606,6256484032862174e-25
445.55555555555554,6496140799503489e-25
450.5050505050505,6739008009325366e-25
455.45454545454544,6984973423828361e-25
460.4040404040404,7233925300336022e-25
465.35353535353534,7485752548809357e-25
470.3030303030303,774034487596173e-24
475.25252525252523,7997592917288161e-25
480.2020202020202,8257388357616817e-25
485.1515151515151,8519624040779613e-25
490.1010101010101,8784194068986435e-25
495.050505050505,9050993892473165e-25
500,9319920389977023e-25
